frame,cpu_ms,gpu_ms
783,0.5227,0.8804
784,0.5061,0.8706
785,0.6034,0.8434
786,0.4758,0.8435
787,0.5405,0.8391
788,0.4953,0.8445
789,0.5232,0.8349
790,0.5195,0.8499
791,0.5219,0.8315
792,0.5078,0.8418
793,0.5316,0.8358
794,0.4926,0.8440
795,0.5330,0.8300
796,0.5053,0.9705
797,0.5292,1.1756
798,0.4989,0.8648
799,0.7009,0.8259
800,0.7007,0.8347
801,0.4506,0.8551
802,0.5552,0.8427
803,0.4671,0.8517
804,0.5349,0.9829
805,0.5026,1.0927
806,0.5256,0.8458
807,0.6578,0.8387
808,0.6598,0.8350
809,0.5229,0.8456
810,0.5248,0.8535
811,0.5253,0.8507
812,0.5394,0.8724
813,0.5338,0.8681
814,0.5195,0.8738
815,0.5507,0.8602
816,0.5292,0.8687
817,0.5432,0.8676
818,0.5178,0.8501
819,0.5410,0.8533
820,0.5262,0.8460
821,0.5126,1.0641
822,0.5337,1.1295
823,0.5208,0.8484
824,0.7495,0.8437
825,0.6327,0.8429
826,0.4966,0.8450
827,0.5190,0.8389
828,0.5323,0.9177
829,0.5340,0.8587
830,0.5300,0.8311
831,0.5745,0.8520
832,0.4679,0.8563
833,0.5196,0.8448
834,0.5506,0.8582
835,0.5292,0.8571
836,0.5193,0.8527
837,0.5359,0.8773
838,0.5271,0.9737
839,0.5220,1.0804
840,0.5587,0.8578
841,0.6115,0.8657
842,0.6615,0.8864
843,0.5438,0.9719
844,0.5374,0.8867
845,0.5312,0.8593
846,0.6339,0.8675
847,0.4341,0.8544
848,0.5204,0.8419
849,0.5502,0.8375
850,0.5204,0.8508
851,0.5148,0.8507
852,0.5121,1.0380
853,0.5298,1.1350
854,0.5132,0.8641
855,0.7184,0.8500
856,0.6399,0.8468
857,0.5104,0.8476
858,0.5205,0.8746
859,0.5208,0.8507
860,0.5039,0.8362
861,0.5541,0.8381
862,0.5380,0.8489
863,0.5196,0.8577
864,0.5131,0.8529
865,0.5289,1.0562
866,0.5349,1.1193
867,0.5204,0.8528
868,0.7285,0.8543
869,0.6227,0.8435
870,0.5182,0.8462
871,0.5274,0.8325
872,0.5132,0.8540
873,0.5294,0.8497
874,0.4984,0.9165
875,0.5368,0.8759
876,0.5056,0.8575
877,0.5942,0.8636
878,0.4802,0.8602
879,0.5268,0.8538
880,0.5284,0.8849
881,0.5103,0.8580
882,0.5092,1.0476
883,0.5496,0.8558
884,0.5022,0.8533
885,0.7266,0.8578
886,0.5329,0.8423
887,0.5297,0.8416
888,0.5350,0.8491
889,0.5187,0.9413
890,0.5285,0.8844
891,0.5140,0.8506
892,0.6240,0.8349
893,0.4652,0.8603
894,0.5256,0.8629
895,0.5103,0.8645
896,0.5379,0.9774
897,0.5428,1.1053
898,0.5231,0.8505
899,0.6390,0.8346
900,0.6819,0.8525
901,0.5176,0.8416
902,0.5240,0.8457
903,0.5327,0.8489
904,0.5251,0.8566
905,0.5047,0.8570
906,0.5585,0.8648
907,0.5032,0.8496
908,0.5225,0.8554
909,0.5418,0.8569
910,0.5167,0.8533
911,0.5281,0.8483
912,0.5358,0.9654
913,0.5275,1.1049
914,0.5202,0.8623
915,0.6411,0.8588
916,0.7445,0.8410
917,0.4711,0.8404
918,0.5218,0.8399
919,0.4938,0.8459
920,0.5205,0.8792
921,0.5161,0.8665
922,0.5329,0.8474
923,0.5453,0.8541
924,0.5133,0.8659
925,0.5254,0.8600
926,0.5232,0.8379
927,0.5483,0.8567
928,0.5123,0.8555
929,0.5221,0.8494
930,0.5358,0.8472
931,0.5111,0.9598
932,0.5315,1.0872
933,0.5267,0.8544
934,0.6353,0.8605
935,0.6895,0.8476
936,0.5328,0.8591
937,0.5641,0.8653
938,0.4834,0.8460
939,0.5335,0.8611
940,0.5439,0.8652
941,0.5058,0.8580
942,0.5408,0.8590
943,0.5376,1.0548
944,0.5210,0.8571
945,0.5623,0.8494
946,0.7000,0.8390
947,0.5392,0.8394
948,0.5261,0.8394
949,0.5145,0.8395
950,0.5320,0.8962
951,0.5239,0.8739
952,0.5274,0.8446
953,0.5803,0.8585
954,0.5130,0.8586
955,0.5064,0.8518
956,0.5251,0.8394
957,0.5206,1.0562
958,0.5235,1.1300
959,0.5151,0.8465
960,0.7464,0.8587
961,0.6233,0.8503
962,0.5172,0.8424
963,0.5446,0.8609
964,0.5075,0.8507
965,0.5376,0.8730
966,0.5371,0.8668
967,0.5308,0.8650
968,0.5306,0.8562
969,0.5218,0.8697
970,0.5395,0.8503
971,0.5147,0.8577
972,0.5510,0.8485
973,0.4922,0.8620
